MATCH_ID,COMPETITION,SEASON,PHASE,MATCH_DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
UCL_2025_2026_LEAGUE_PHASE_E8A2ADF9,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Atalanta,Ath Bilbao,2,3
UCL_2025_2026_LEAGUE_PHASE_488A2B4F,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Bayern Munich,Royale Union SG,2,0
UCL_2025_2026_LEAGUE_PHASE_E85A403C,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Chelsea,Pafos,1,0
UCL_2025_2026_LEAGUE_PHASE_5AA83EA3,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Juventus,Benfica,2,0
UCL_2025_2026_LEAGUE_PHASE_BEC1BD41,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Marseille,Liverpool,0,3
UCL_2025_2026_LEAGUE_PHASE_AE100C21,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Newcastle,PSV,3,0
UCL_2025_2026_LEAGUE_PHASE_1947152D,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Slavia Prague,Barcelona,2,4
UCL_2025_2026_LEAGUE_PHASE_E6FDC215,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Galatasaray,Atl. Madrid,1,1
UCL_2025_2026_LEAGUE_PHASE_81AFD868,UCL,2025/2026,LEAGUE_PHASE,2026-01-21,Qarabag,Eintracht Frankfurt,3,2
UCL_2025_2026_LEAGUE_PHASE_512E3AE3,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,FC Copenhagen,Napoli,1,1
UCL_2025_2026_LEAGUE_PHASE_32F1DD7B,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Inter,Arsenal,1,3
UCL_2025_2026_LEAGUE_PHASE_A23E0882,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Olympiacos Piraeus,Bayer Leverkusen,2,0
UCL_2025_2026_LEAGUE_PHASE_7CAA8465,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Real Madrid,Monaco,6,1
UCL_2025_2026_LEAGUE_PHASE_5990105B,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Sporting CP,PSG,2,1
UCL_2025_2026_LEAGUE_PHASE_EB0C162C,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Tottenham,Dortmund,2,0
UCL_2025_2026_LEAGUE_PHASE_53214324,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Villarreal,Ajax,1,2
UCL_2025_2026_LEAGUE_PHASE_A18E8E31,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Bodo/Glimt,Manchester City,3,1
UCL_2025_2026_LEAGUE_PHASE_B5B16828,UCL,2025/2026,LEAGUE_PHASE,2026-01-20,Kairat Almaty,Club Brugge KV,1,4
UCL_2025_2026_LEAGUE_PHASE_98A54BEB,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Ath Bilbao,PSG,0,0
UCL_2025_2026_LEAGUE_PHASE_367CF322,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Bayer Leverkusen,Newcastle,2,2
UCL_2025_2026_LEAGUE_PHASE_78140D3C,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Benfica,Napoli,2,0
UCL_2025_2026_LEAGUE_PHASE_D2CC7011,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Club Brugge KV,Arsenal,0,3
UCL_2025_2026_LEAGUE_PHASE_79421268,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Dortmund,Bodo/Glimt,2,2
UCL_2025_2026_LEAGUE_PHASE_602EC466,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Juventus,Pafos,2,0
UCL_2025_2026_LEAGUE_PHASE_4D8E0AB8,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Real Madrid,Manchester City,1,2
UCL_2025_2026_LEAGUE_PHASE_919CFAE8,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Qarabag,Ajax,2,4
UCL_2025_2026_LEAGUE_PHASE_EC76E692,UCL,2025/2026,LEAGUE_PHASE,2025-12-10,Villarreal,FC Copenhagen,2,3
UCL_2025_2026_LEAGUE_PHASE_1C0EB5DF,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Atalanta,Chelsea,2,1
UCL_2025_2026_LEAGUE_PHASE_EBAA1EA5,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Barcelona,Eintracht Frankfurt,2,1
UCL_2025_2026_LEAGUE_PHASE_13B1AAE0,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Inter,Liverpool,0,1
UCL_2025_2026_LEAGUE_PHASE_18347D06,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Monaco,Galatasaray,1,0
UCL_2025_2026_LEAGUE_PHASE_48D00B5D,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,PSV,Atl. Madrid,2,3
UCL_2025_2026_LEAGUE_PHASE_E640F855,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Royale Union SG,Marseille,2,3
UCL_2025_2026_LEAGUE_PHASE_1A609DDA,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Tottenham,Slavia Prague,3,0
UCL_2025_2026_LEAGUE_PHASE_3F3DC85C,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Bayern Munich,Sporting CP,3,1
UCL_2025_2026_LEAGUE_PHASE_5CD4BABE,UCL,2025/2026,LEAGUE_PHASE,2025-12-09,Kairat Almaty,Olympiacos Piraeus,0,1
UCL_2025_2026_LEAGUE_PHASE_0D1CEAEB,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,Arsenal,Bayern Munich,3,1
UCL_2025_2026_LEAGUE_PHASE_129B0458,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,Atl. Madrid,Inter,2,1
UCL_2025_2026_LEAGUE_PHASE_0825EB35,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,Eintracht Frankfurt,Atalanta,0,3
UCL_2025_2026_LEAGUE_PHASE_5F3ECFFE,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,Liverpool,PSV,1,4
UCL_2025_2026_LEAGUE_PHASE_5A254805,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,Olympiacos Piraeus,Real Madrid,3,4
UCL_2025_2026_LEAGUE_PHASE_E4E4907F,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,PSG,Tottenham,5,3
UCL_2025_2026_LEAGUE_PHASE_F4743BFB,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,Sporting CP,Club Brugge KV,3,0
UCL_2025_2026_LEAGUE_PHASE_E8F8FE66,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,FC Copenhagen,Kairat Almaty,3,2
UCL_2025_2026_LEAGUE_PHASE_34FFB0C8,UCL,2025/2026,LEAGUE_PHASE,2025-11-26,Pafos,Monaco,2,2
UCL_2025_2026_LEAGUE_PHASE_45181E1C,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Bodo/Glimt,Juventus,2,3
UCL_2025_2026_LEAGUE_PHASE_96419C29,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Chelsea,Barcelona,3,0
UCL_2025_2026_LEAGUE_PHASE_CC4E7DC3,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Dortmund,Villarreal,4,0
UCL_2025_2026_LEAGUE_PHASE_A42FE933,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Manchester City,Bayer Leverkusen,0,2
UCL_2025_2026_LEAGUE_PHASE_8B4CABBF,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Marseille,Newcastle,2,1
UCL_2025_2026_LEAGUE_PHASE_1F93E65B,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Napoli,Qarabag,2,0
UCL_2025_2026_LEAGUE_PHASE_75BB6075,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Slavia Prague,Ath Bilbao,0,0
UCL_2025_2026_LEAGUE_PHASE_8FD1577E,UCL,2025/2026,LEAGUE_PHASE,2025-11-25,Ajax,Benfica,0,2
