MATCH_ID,COMPETITION,SEASON,PHASE,MATCH_DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
UCL_2025_2026_KNOCKOUT_PHASE_16B17D71,UCL,2025/2026,KNOCKOUT_PHASE,2026-05-06,Bayern Munich,PSG,1,1
UCL_2025_2026_KNOCKOUT_PHASE_19D56A27,UCL,2025/2026,KNOCKOUT_PHASE,2026-05-05,Arsenal,Atl. Madrid,1,0
UCL_2025_2026_KNOCKOUT_PHASE_49C1AE29,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-29,Atl. Madrid,Arsenal,1,1
UCL_2025_2026_KNOCKOUT_PHASE_7B88083B,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-28,PSG,Bayern Munich,5,4
UCL_2025_2026_KNOCKOUT_PHASE_34B4F8C4,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-15,Arsenal,Sporting CP,0,0
UCL_2025_2026_KNOCKOUT_PHASE_1CF67266,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-15,Bayern Munich,Real Madrid,4,3
UCL_2025_2026_KNOCKOUT_PHASE_88E6FE6D,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-14,Atl. Madrid,Barcelona,1,2
UCL_2025_2026_KNOCKOUT_PHASE_A1EB71C5,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-14,Liverpool,PSG,0,2
UCL_2025_2026_KNOCKOUT_PHASE_0069AFA6,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-08,Barcelona,Atl. Madrid,0,2
UCL_2025_2026_KNOCKOUT_PHASE_69C3153D,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-08,PSG,Liverpool,2,0
UCL_2025_2026_KNOCKOUT_PHASE_8348064E,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-07,Real Madrid,Bayern Munich,1,2
UCL_2025_2026_KNOCKOUT_PHASE_444F6951,UCL,2025/2026,KNOCKOUT_PHASE,2026-04-07,Sporting CP,Arsenal,0,1
UCL_2025_2026_KNOCKOUT_PHASE_07F85845,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-18,Bayern Munich,Atalanta,4,1
UCL_2025_2026_KNOCKOUT_PHASE_92A5B3D7,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-18,Liverpool,Galatasaray,4,0
UCL_2025_2026_KNOCKOUT_PHASE_C8C2CA5F,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-18,Tottenham,Atl. Madrid,3,2
UCL_2025_2026_KNOCKOUT_PHASE_9D330281,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-18,Barcelona,Newcastle,7,2
UCL_2025_2026_KNOCKOUT_PHASE_52D623D3,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-17,Arsenal,Bayer Leverkusen,2,0
UCL_2025_2026_KNOCKOUT_PHASE_2C0998AD,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-17,Chelsea,PSG,0,3
UCL_2025_2026_KNOCKOUT_PHASE_CE3C4873,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-17,Manchester City,Real Madrid,1,2
UCL_2025_2026_KNOCKOUT_PHASE_33F3C8A9,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-17,Sporting CP,Bodo/Glimt,3,0
UCL_2025_2026_KNOCKOUT_PHASE_4A783B98,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-11,Bodo/Glimt,Sporting CP,3,0
UCL_2025_2026_KNOCKOUT_PHASE_D6B02300,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-11,PSG,Chelsea,5,2
UCL_2025_2026_KNOCKOUT_PHASE_43F2FCCA,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-11,Real Madrid,Manchester City,3,0
UCL_2025_2026_KNOCKOUT_PHASE_C567FAD3,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-11,Bayer Leverkusen,Arsenal,1,1
UCL_2025_2026_KNOCKOUT_PHASE_F7686381,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-10,Atalanta,Bayern Munich,1,6
UCL_2025_2026_KNOCKOUT_PHASE_D6E8CA20,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-10,Atl. Madrid,Tottenham,5,2
UCL_2025_2026_KNOCKOUT_PHASE_34088FF6,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-10,Newcastle,Barcelona,1,1
UCL_2025_2026_KNOCKOUT_PHASE_FCAFBA8C,UCL,2025/2026,KNOCKOUT_PHASE,2026-03-10,Galatasaray,Liverpool,1,0
UCL_2025_2026_PLAYOFFS_7A00D134,UCL,2025/2026,PLAYOFFS,2026-02-25,Juventus,Galatasaray,3,0
UCL_2025_2026_PLAYOFFS_E5F83589,UCL,2025/2026,PLAYOFFS,2026-02-25,PSG,Monaco,2,2
UCL_2025_2026_PLAYOFFS_0B215AE5,UCL,2025/2026,PLAYOFFS,2026-02-25,Real Madrid,Benfica,2,1
UCL_2025_2026_PLAYOFFS_4B8ABEBB,UCL,2025/2026,PLAYOFFS,2026-02-25,Atalanta,Dortmund,4,1
UCL_2025_2026_PLAYOFFS_F04A66A7,UCL,2025/2026,PLAYOFFS,2026-02-24,Bayer Leverkusen,Olympiacos Piraeus,0,0
UCL_2025_2026_PLAYOFFS_53CDFEAC,UCL,2025/2026,PLAYOFFS,2026-02-24,Inter,Bodo/Glimt,1,2
UCL_2025_2026_PLAYOFFS_44DBC738,UCL,2025/2026,PLAYOFFS,2026-02-24,Newcastle,Qarabag,3,2
UCL_2025_2026_PLAYOFFS_7429E1B3,UCL,2025/2026,PLAYOFFS,2026-02-24,Atl. Madrid,Club Brugge KV,4,1
UCL_2025_2026_PLAYOFFS_61081E3E,UCL,2025/2026,PLAYOFFS,2026-02-18,Bodo/Glimt,Inter,3,1
UCL_2025_2026_PLAYOFFS_6E6AA0B5,UCL,2025/2026,PLAYOFFS,2026-02-18,Club Brugge KV,Atl. Madrid,3,3
UCL_2025_2026_PLAYOFFS_294B6FF2,UCL,2025/2026,PLAYOFFS,2026-02-18,Olympiacos Piraeus,Bayer Leverkusen,0,2
