MATCH_ID,COMPETITION,SEASON,PHASE,MATCH_DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
UEL_2025_2026_KNOCKOUT_PHASE_8F6B6E3E,UEL,2025/2026,KNOCKOUT_PHASE,2026-05-07,Aston Villa,Nottingham,4,0
UEL_2025_2026_KNOCKOUT_PHASE_8B0B9274,UEL,2025/2026,KNOCKOUT_PHASE,2026-05-07,Freiburg,Braga,3,1
UEL_2025_2026_KNOCKOUT_PHASE_7AE78DC3,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-30,Braga,Freiburg,2,1
UEL_2025_2026_KNOCKOUT_PHASE_BE93AAF8,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-30,Nottingham,Aston Villa,1,0
UEL_2025_2026_KNOCKOUT_PHASE_A2006A55,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-16,Aston Villa,Bologna,4,0
UEL_2025_2026_KNOCKOUT_PHASE_C8B713BC,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-16,Betis,Braga,2,4
UEL_2025_2026_KNOCKOUT_PHASE_2A818EC4,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-16,Nottingham,FC Porto,1,0
UEL_2025_2026_KNOCKOUT_PHASE_5D2FFB95,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-16,Celta Vigo,Freiburg,1,3
UEL_2025_2026_KNOCKOUT_PHASE_9E47E1AE,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-09,Bologna,Aston Villa,1,3
UEL_2025_2026_KNOCKOUT_PHASE_786D97EC,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-09,FC Porto,Nottingham,1,1
UEL_2025_2026_KNOCKOUT_PHASE_4E34F077,UEL,2025/2026,KNOCKOUT_PHASE,2026-04-09,Freiburg,Celta Vigo,3,0
UEL_2025_2026_KNOCKOUT_PHASE_9D97DC94,UEL,2025/2026,KNOCKOUT_PHASE,2026-03-19,AS Roma,Bologna,3,3
UEL_2025_2026_KNOCKOUT_PHASE_51CDD725,UEL,2025/2026,KNOCKOUT_PHASE,2026-03-19,Aston Villa,Lille,2,0
